s3_key,title,artist,views,latitude,longitude
[img-Krater1-A].jpg,Terracotta krater,,,,
[img-WomanWillendorf-A].jpg,Woman of Willendorf,,,,
[img-WomanWillendorf-B].jpg,Woman of Willendorf,,,,
[img-WomanWillendorf-C].jpeg,Woman of Willendorf,,,,
[img-Kouros1-A].jpg,Marble statue of a kouros (youth),,,,
[img-Doryphoros-A].jpg,Copy of the Spear Bearer (Doryphoros),,,,
[img-NikeSamothrace-A].jpg,Nike (Winged Victory) of Samothrace,,,,
[img-StarryNight001-A].jpg,Starry Night,,,,
[img-Irises-A].jpg,Irises,,,,
[img-DinnerParty-A].jpg,The Dinner Party,,"Ceramic, porcelain, textile",,
[img-DinnerParty-B].jpg,The Dinner Party,,Printed panel,,
[img-DinnerParty-C].webp,The Dinner Party,,"Runner: Cotton/linen base fabric, woven interface support material (horsehair, wool, and linen), cotton twill tape, silk, synthetic gold cord, unborn calf skins, cowry shells, stone beads, fabric paint, thread. Plate: Porcelain with overglaze enamel (China paint)",,
[img-Fountain1-A].jpg,Fountain,,,,
[img-AIDS1in61]-A.jpg,AIDS: 1 in 61,,,,
[img-AIDSGATE-A].jpg,AIDSGATE,,,,
[img-Landscape1-A].jpg,Landscape,,,,
[img-Basin1-A].jpg,Basin,,,,
[img-TorsoPriestKing-A].jpg,"Torso of a ""Priest-King""",,,,
[img-LayBuddhistVimalakirti-A].jpg,The Lay Buddhist Vimalakirti,,,,
[img-OtaniOnijiin1-A].jpg,Otani Oniji in the Role of Yakko Edobe,,,,
[img-GreatMosqueDamascus-A].jpg,Great Mosque of Damascus,,,,
[img-DamascusMosaics-A].jpg,Mosaics on the courtyard arcade,,,,
[img-WaterLilies1-A].jpg,Water Lilies,,,,
[img-Astrolabe1-A].jpg,Astrolabe of ‘Umar ibn Yusuf ibn ‘Umar ibn ‘Ali ibn Rasul al-Muzaffari,,,,
[img-Koran1-A].jpg,"Koran page with the begnning of surah 18, ""Al-Kahf"" (The Cave)",,,,
[img-TravelsMountainsFields-A].jpg,Travels through Mountains and Fields,,,,
[img-VelvetTextileDragonRobe-A].jpg,Velvet Textile for a Dragon Robe,,,,
[img-CylinderSeal1-A].jpg,Cylinder seal with cultic scene,,,,
[img-FiveDreamings-A].jpg,Five Dreamings,,,,
[img-DebatingStool1-A].jpg,Debating Stool (kawa rigit),,,,
[img-MeetingHouse1-A].jpg,Meeting house (whare rūnanga),,,,
[img-Barkcloth1-A].jpeg,Barkcloth (ngatu tāhina),,,,
[img-Nkisi2-A].JPG,Male Power Figure (Nkisi),,,,
[img-ReliquaryGuardian1-A].jpg,Reliquary guardian,,,,
[img-DancersNjoyaPalace-A].jpg,Dancers performing within Njoya's palace,,,,
[img-NjoyaPalace-A].jpg,Palace designed for Sultan Njoya,,,,
[img-DoorsOgagaIkere-A].jpg,Doors and lintel sculpted for the Ogaga of Ikere,,,,
[img-SongofthePick-A].png,Song of the Pick,,,,
[img-CreationAdam1-A].jpg,Creation of Adam,,,,
[img-SistineChapel-A].jpg,Sistine Chapel,,,,
[img-SelfPortraitFountain-A].jpeg,Self Portrait as a Fountain,,,,
[img-LindisfarneGospels-A].jpg,Lindisfarne Gospels,,,,
[img-LindisfarneGospels-B].jpg,Lindisfarne Gospels,,,,
[img-IvoryFigurine1-A].jpg,Ivory figurine,,,,
[img-GhentAltarpiece-A].png,Ghent Altarpiece,,,,
[img-GhentAltarpiece-B].png,Ghent Altarpiece,,,,
[img-Lamassu1-A].jpg,Lamassu,,,,
[img-Wineglass1-A].jpg,Wineglass,,,,
[img-Mirror1-A].tif,"Mirror with Phoenixes, Birds, Butterflies, and Floral Sprays",,,,
[img-PeddlerGoblet-A].jpg,The Peddler Goblet,,,,
[img-Amulet1-A].tif,Amulet in the Form of a Seated Figure with Bovine Head,,,,
[img-WadeCup-A].tif,The Wade Cup with Animated Script,,,,
[img-WineCup1-A].tif,Wine Cup with Children at Play,,,,
[img-Coatlicue1-A].jpg,Cōātlīcue,,,,
[img-Coyolxauhqui-A].jpg,Coyolxāuhqui,,,,
[img-FoundingTenochtitlan-A].jpeg,Codex Mendoza,,,,
[img-Cross1-A].jpg,Cross,,,,
[img-VirginGuadalupe3-A].png,Virgin of Guadalupe,,,,
[img-VirginGuadalupe3-A].png,Virgin of Guadalupe,,,,
[img-VirginGuadalupe3-A].png,Virgin of Guadalupe,,,,
[img-ChurchSanFrancisco1-A].jpg,Church of San Francisco,,,,
[img-Retablo1-A].jpg,Altarpiece (retablo),,,,
[img-Intihuatana1-A].jpg,Intihuatana,,,,
